review_id,date,rating,text
1,11/1/2025,5,Amazing momo and super friendly staff!
2,11/2/2025,2,Food tasted good but service took too long.
3,11/3/2025,4,Great ambience. The wait was only a few minutes.
4,11/4/2025,1,Overpriced for what you get. Not worth it.
5,11/5/2025,3,"Food was okay, but the bathroom was dirty."
6,11/6/2025,5,Delicious and quick service—will come again!
7,11/7/2025,2,Wrong order and staff didn’t fix it.
8,11/8/2025,4,Portions were big and the taste was great.
9,11/9/2025,1,Waited forever. Cold food. Terrible experience.
10,11/10/2025,5,The place is clean and the vibe is amazing.
